,iso_code,country,region,sub_region
0,DZA,Algeria,Africa,Northern Africa
1,EGY,Egypt,Africa,Northern Africa
2,LBY,Libya,Africa,Northern Africa
3,MAR,Morocco,Africa,Northern Africa
4,SDN,Sudan,Africa,Northern Africa
5,TUN,Tunisia,Africa,Northern Africa
6,ESH,Western Sahara,Africa,Northern Africa
7,IOT,British Indian Ocean Territory,Africa,Sub-Saharan Africa
8,BDI,Burundi,Africa,Sub-Saharan Africa
9,COM,Comoros,Africa,Sub-Saharan Africa
10,DJI,Djibouti,Africa,Sub-Saharan Africa
11,ERI,Eritrea,Africa,Sub-Saharan Africa
12,ETH,Ethiopia,Africa,Sub-Saharan Africa
13,ATF,French Southern Territories,Africa,Sub-Saharan Africa
14,KEN,Kenya,Africa,Sub-Saharan Africa
15,MDG,Madagascar,Africa,Sub-Saharan Africa
16,MWI,Malawi,Africa,Sub-Saharan Africa
17,MUS,Mauritius,Africa,Sub-Saharan Africa
18,MYT,Mayotte,Africa,Sub-Saharan Africa
19,MOZ,Mozambique,Africa,Sub-Saharan Africa
20,REU,Réunion,Africa,Sub-Saharan Africa
21,RWA,Rwanda,Africa,Sub-Saharan Africa
22,SYC,Seychelles,Africa,Sub-Saharan Africa
23,SOM,Somalia,Africa,Sub-Saharan Africa
24,SSD,South Sudan,Africa,Sub-Saharan Africa
25,UGA,Uganda,Africa,Sub-Saharan Africa
26,TZA,United Republic of Tanzania,Africa,Sub-Saharan Africa
27,ZMB,Zambia,Africa,Sub-Saharan Africa
28,ZWE,Zimbabwe,Africa,Sub-Saharan Africa
29,AGO,Angola,Africa,Sub-Saharan Africa
30,CMR,Cameroon,Africa,Sub-Saharan Africa
31,CAF,Central African Republic,Africa,Sub-Saharan Africa
32,TCD,Chad,Africa,Sub-Saharan Africa
33,COG,Congo,Africa,Sub-Saharan Africa
34,COD,Democratic Republic of the Congo,Africa,Sub-Saharan Africa
35,GNQ,Equatorial Guinea,Africa,Sub-Saharan Africa
36,GAB,Gabon,Africa,Sub-Saharan Africa
37,STP,Sao Tome and Principe,Africa,Sub-Saharan Africa
38,BWA,Botswana,Africa,Sub-Saharan Africa
39,SWZ,Eswatini,Africa,Sub-Saharan Africa
40,LSO,Lesotho,Africa,Sub-Saharan Africa
41,NAM,Namibia,Africa,Sub-Saharan Africa
42,ZAF,South Africa,Africa,Sub-Saharan Africa
43,BEN,Benin,Africa,Sub-Saharan Africa
44,BFA,Burkina Faso,Africa,Sub-Saharan Africa
45,CPV,Cabo Verde,Africa,Sub-Saharan Africa
46,CIV,Côte dIvoire,Africa,Sub-Saharan Africa
47,GMB,Gambia,Africa,Sub-Saharan Africa
48,GHA,Ghana,Africa,Sub-Saharan Africa
49,GIN,Guinea,Africa,Sub-Saharan Africa
50,GNB,Guinea-Bissau,Africa,Sub-Saharan Africa
51,LBR,Liberia,Africa,Sub-Saharan Africa
52,MLI,Mali,Africa,Sub-Saharan Africa
53,MRT,Mauritania,Africa,Sub-Saharan Africa
54,NER,Niger,Africa,Sub-Saharan Africa
55,NGA,Nigeria,Africa,Sub-Saharan Africa
56,SHN,Saint Helena,Africa,Sub-Saharan Africa
57,SEN,Senegal,Africa,Sub-Saharan Africa
58,SLE,Sierra Leone,Africa,Sub-Saharan Africa
59,TGO,Togo,Africa,Sub-Saharan Africa
60,AIA,Anguilla,Americas,Latin America and the Caribbean
61,ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean
62,ABW,Aruba,Americas,Latin America and the Caribbean
63,BHS,Bahamas,Americas,Latin America and the Caribbean
64,BRB,Barbados,Americas,Latin America and the Caribbean
65,BES,"Bonaire, Sint Eustatius and Saba",Americas,Latin America and the Caribbean
66,VGB,British Virgin Islands,Americas,Latin America and the Caribbean
67,CYM,Cayman Islands,Americas,Latin America and the Caribbean
68,CUB,Cuba,Americas,Latin America and the Caribbean
69,CUW,Curaçao,Americas,Latin America and the Caribbean
70,DMA,Dominica,Americas,Latin America and the Caribbean
71,DOM,Dominican Republic,Americas,Latin America and the Caribbean
72,GRD,Grenada,Americas,Latin America and the Caribbean
73,GLP,Guadeloupe,Americas,Latin America and the Caribbean
74,HTI,Haiti,Americas,Latin America and the Caribbean
75,JAM,Jamaica,Americas,Latin America and the Caribbean
76,MTQ,Martinique,Americas,Latin America and the Caribbean
77,MSR,Montserrat,Americas,Latin America and the Caribbean
78,PRI,Puerto Rico,Americas,Latin America and the Caribbean
79,BLM,Saint Barthélemy,Americas,Latin America and the Caribbean
80,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean
81,LCA,Saint Lucia,Americas,Latin America and the Caribbean
82,MAF,Saint Martin (French Part),Americas,Latin America and the Caribbean
83,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean
84,SXM,Sint Maarten (Dutch part),Americas,Latin America and the Caribbean
85,TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean
86,TCA,Turks and Caicos Islands,Americas,Latin America and the Caribbean
87,VIR,United States Virgin Islands,Americas,Latin America and the Caribbean
88,BLZ,Belize,Americas,Latin America and the Caribbean
89,CRI,Costa Rica,Americas,Latin America and the Caribbean
90,SLV,El Salvador,Americas,Latin America and the Caribbean
91,GTM,Guatemala,Americas,Latin America and the Caribbean
92,HND,Honduras,Americas,Latin America and the Caribbean
93,MEX,Mexico,Americas,Latin America and the Caribbean
94,NIC,Nicaragua,Americas,Latin America and the Caribbean
95,PAN,Panama,Americas,Latin America and the Caribbean
96,ARG,Argentina,Americas,Latin America and the Caribbean
97,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean
98,BVT,Bouvet Island,Americas,Latin America and the Caribbean
99,BRA,Brazil,Americas,Latin America and the Caribbean
100,CHL,Chile,Americas,Latin America and the Caribbean
101,COL,Colombia,Americas,Latin America and the Caribbean
102,ECU,Ecuador,Americas,Latin America and the Caribbean
